{ source_ip: 10.0.0.7, dest_ip: 3.33.235.18, source_port: 51764, dest_port: 443, timestamp: 1686772842.337993, total_length: 55, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500002976d04000800600000a0000070321eb12ca3401bb1d50e2ddaad3ff1550100204f855000000 }
{ source_ip: 20.199.120.182, dest_ip: 10.0.0.7, source_port: 443, dest_port: 57728, timestamp: 1686772850.45149, total_length: 229, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b0800450000d7870a40006f06ec9214c778b60a00000701bbe1806787cf28cdb391ee50181aac7c2d000017030300aa000000000000012234ea0818273971e0871876df405f42edf11e57a6c44ee6a8761c4610249aad9c7945af89366f4217e220142d2bcc27bd695ee1f386803f8e3feb65547d164b09e4f033df2a1473cea583c9b64ff2ccb864e0ce0494f1805ddd7cadeb16177987812711a4ca6c9d6078762c90f2f904f493387dd97885850a654e97f239ba63431858a27cd6273dc7d38ad665043259620366ffc1421e85d695dccb313b7c65925fee }
{ source_ip: 10.0.0.7, dest_ip: 20.199.120.182, source_port: 57728, dest_port: 443, timestamp: 1686772850.491389, total_length: 54, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500002881490000800600000a00000714c778b6e18001bbcdb391ee6787cfd7501002039c100000 }
{ source_ip: 10.0.0.7, dest_ip: 13.248.151.210, source_port: 52183, dest_port: 443, timestamp: 1686772850.645254, total_length: 55, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500002942d94000800600000a0000070df897d2cbd701bb892b7bdc5ba9252650100200afec000000 }
{ source_ip: 13.248.151.210, dest_ip: 10.0.0.7, source_port: 443, dest_port: 52183, timestamp: 1686772850.721506, total_length: 66, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: None, data: 68545a8ecabf00b8c2997d3b0800450000341ee94000f406b8090df897d20a00000701bbcbd75ba92526892b7bdd801000b56bbb00000101050a892b7bdc892b7bdd }
{ source_ip: 34.237.73.95, dest_ip: 10.0.0.7, source_port: 443, dest_port: 51772, timestamp: 1686772853.945025, total_length: 92, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b08004500004ed1884000eb0647ce22ed495f0a00000701bbca3cbc0b3419d2783b8a50180235dba700001703030021cb527b069f418ba0849a4e0fa3210be08cd2a471c69273d78fe30a42fd65b634a8 }
{ source_ip: 76.223.31.44, dest_ip: 10.0.0.7, source_port: 443, dest_port: 51236, timestamp: 1686772853.945025, total_length: 94, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b08004500005006104000f3060b864cdf1f2c0a00000701bbc824f62d1131c1e4a87d50180077caab00001703030023000000000000004099bcb2e8c80f92211d43f432e89f4282f1833abbca64adaceff554 }
{ source_ip: 10.0.0.7, dest_ip: 76.223.31.44, source_port: 51236, dest_port: 443, timestamp: 1686772853.946479, total_length: 96, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500005245964000800600000a0000074cdf1f2cc82401bbc1e4a87df62d1159501801ff765600001703030025000000000000006d2a837532d533c177797e75e00fa1273a69c4a4cf03f6b8fe1d2dcf0efd }
{ source_ip: 10.0.0.7, dest_ip: 76.223.31.44, source_port: 51236, dest_port: 443, timestamp: 1686772853.946561, total_length: 96, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500005245974000800600000a0000074cdf1f2cc82401bbc1e4a8a7f62d1159501801ff765600001703030025000000000000006efb6764254c30a94515330e57218fa05fdc5166ad148cee1149b4204c05 }
{ source_ip: 10.0.0.7, dest_ip: 34.237.73.95, source_port: 51772, dest_port: 443, timestamp: 1686772853.985363, total_length: 54, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf080045000028b9ee4000800600000a00000722ed495fca3c01bbd2783b8abc0b343f50100201766d0000 }
{ source_ip: 76.223.31.44, dest_ip: 10.0.0.7, source_port: 443, dest_port: 51236, timestamp: 1686772854.036989, total_length: 54, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b08004500002806114000f3060bad4cdf1f2c0a00000701bbc824f62d1159c1e4a8a750100077fd580000 }
{ source_ip: 76.223.31.44, dest_ip: 10.0.0.7, source_port: 443, dest_port: 51236, timestamp: 1686772854.036989, total_length: 54, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b08004500002806124000f3060bac4cdf1f2c0a00000701bbc824f62d1159c1e4a8d150100077fd2e0000 }
{ source_ip: 44.212.211.246, dest_ip: 10.0.0.7, source_port: 443, dest_port: 50227, timestamp: 1686772856.094567, total_length: 88, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b08004500004ad2f84000e406b8e32cd4d3f60a00000701bbc43388b8bd6ccc8dadb8501800b43d380000170303001d000000000000002d55d061e8d7fe4cf18fbfb92dcdebb38bb3723cfbf8 }
{ source_ip: 10.0.0.7, dest_ip: 44.212.211.246, source_port: 50227, dest_port: 443, timestamp: 1686772856.095637, total_length: 92, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500004e6eb04000800600000a0000072cd4d3f6c43301bbcc8dadb888b8bd8e501802000b1200001703030021000000000000002d6005a7892887f33c10e939e10c0f522a61b530488707091d59 }
{ source_ip: 44.212.211.246, dest_ip: 10.0.0.7, source_port: 443, dest_port: 50227, timestamp: 1686772856.299588, total_length: 56, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b080045000028d2f94000e406b9042cd4d3f60a00000701bbc43388b8bd8ecc8dadde501000b41dad00001703 }
{ source_ip: 44.212.211.246, dest_ip: 10.0.0.7, source_port: 443, dest_port: 50227, timestamp: 1686772865.617805, total_length: 89, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b08004500004bd2fa4000e406b8e02cd4d3f60a00000701bbc43388b8bd8ecc8dadde501800b41b180000170303001e000000000000002e1333e53e9aef592db4728f1a3111cd8702769065a50b }
{ source_ip: 10.0.0.7, dest_ip: 44.212.211.246, source_port: 50227, dest_port: 443, timestamp: 1686772865.618277, total_length: 93, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500004f6eb14000800600000a0000072cd4d3f6c43301bbcc8dadde88b8bdb1501802000b1300001703030022000000000000002ea5904fa4c6f3b5d3eb0bd3742b184bbb4afc31d1615f51299d4b }
{ source_ip: 44.212.211.246, dest_ip: 10.0.0.7, source_port: 443, dest_port: 50227, timestamp: 1686772865.822188, total_length: 56, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b080045000028d2fb4000e406b9022cd4d3f60a00000701bbc43388b8bdb1cc8dae05501000b41d6300001703 }
{ source_ip: 10.0.0.7, dest_ip: 3.33.235.18, source_port: 52044, dest_port: 443, timestamp: 1686772872.748745, total_length: 55, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500002976d24000800600000a0000070321eb12cb4c01bbd3fa8c41841f77cb501001fff855000000 }
{ source_ip: 3.33.235.18, dest_ip: 10.0.0.7, source_port: 443, dest_port: 52044, timestamp: 1686772872.823029, total_length: 66, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: None, data: 68545a8ecabf00b8c2997d3b08004500003450644000f4063e250321eb120a00000701bbcb4c841f77cbd3fa8c4280100097974200000101050ad3fa8c41d3fa8c42 }
{ source_ip: 10.0.0.7, dest_ip: 34.237.73.95, source_port: 51772, dest_port: 443, timestamp: 1686772873.86413, total_length: 301, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500011fb9ef4000800600000a00000722ed495fca3c01bbd2783b8abc0b343f501802017764000017030300f2000000000000009e2e0facc74b906f72b27e74a4bc9dc613ce5c67cf0c0189d706cd6c867f48b31e83b58bac844f84931b79862ec5cdb18f27ba1fa88fb7e37016d7cf0fbceca52b5df2e13e6162a091d07fb59b6df1ec0525468a9fa49e517e71c9c5c506255d81471af0dde1b7e7bdce9f981132a28a7f83b99559d7de8f69e8be7a325948943007ed1e81824943bba641dc279aaae1673485d48818a2a42b292ca1e60a3bc25f8939110c9aa4cf8f500fa082edccdf37914b563dec1a44894619b0f430f311b700766900f77f0549714e8444a9f6d291d8f82456e09a88a0275a285c24d98d1331f462296d933f371bd8 }
{ source_ip: 34.237.73.95, dest_ip: 10.0.0.7, source_port: 443, dest_port: 51772, timestamp: 1686772874.01033, total_length: 324, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b080045000136d1894000eb0646e522ed495f0a00000701bbca3cbc0b343fd2783c815018023734cf00001703030109cb527b069f418ba11386917157c33d8a7d54b9d4c5292d0becefde439013e048ec401f598fe514b391573637ec12f933ded988c2ae26f0b37d1c12d2431102bba4070d3ad98cbb0b1a776fe16b0381946166a8dad49b38397a7892f54cfc6275964f7e49c1c9a61cf968bba514efdf1bcabfcaf203b958ae0fede1c2add4dda4b7fcb668e3c3d7f1e8f8b6cb8c5a512371d519dca52d5af19819bd6fad2f2648077d600229aff1e367525c09f71cfa9eba17590022d2ccd4725c1ad3ce6f96227685252764c65b7d84399a28bcf3c153483561ce3ef0896f96c64220601d209080b1e39f4ba37ae996e6bf139177a016c63d4a2fe7f9c600851be156427b69196013887a86832d7849 }
{ source_ip: 10.0.0.7, dest_ip: 34.237.73.95, source_port: 51772, dest_port: 443, timestamp: 1686772874.04974, total_length: 54, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf080045000028b9f04000800600000a00000722ed495fca3c01bbd2783c81bc0b354d50100200766d0000 }
{ source_ip: 3.33.235.18, dest_ip: 10.0.0.7, source_port: 443, dest_port: 52020, timestamp: 1686772874.424357, total_length: 94, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b080045000050b34b4000f406db210321eb120a00000701bbcb34121efb29954c05e4501800b4c1e10000170303002300000000000000288d93321b7b50da7bbb23232c1189282edc78404ae1a1a953e9deaa }
{ source_ip: 10.0.0.7, dest_ip: 3.33.235.18, source_port: 52020, dest_port: 443, timestamp: 1686772874.427946, total_length: 96, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500005276d34000800600000a0000070321eb12cb3401bb954c05e4121efb51501801fef87e000017030300250000000000000048a8c573bd2097ee07b7624ff1983c9796725715f0a79d6562a794f5bd28 }
{ source_ip: 10.0.0.7, dest_ip: 3.33.235.18, source_port: 52020, dest_port: 443, timestamp: 1686772874.428059, total_length: 96, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500005276d44000800600000a0000070321eb12cb3401bb954c060e121efb51501801fef87e000017030300250000000000000049bf4247a81c544e7a9424566f336918f314aaef6b55fba09fdef53d7d84 }
{ source_ip: 3.33.235.18, dest_ip: 10.0.0.7, source_port: 443, dest_port: 52020, timestamp: 1686772874.498674, total_length: 56, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b080045000028b34d4000f406db470321eb120a00000701bbcb34121efb51954c0638501000b44102000001bb }
{ source_ip: 44.212.211.246, dest_ip: 10.0.0.7, source_port: 443, dest_port: 50227, timestamp: 1686772881.284986, total_length: 88, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b08004500004ad2fc4000e406b8df2cd4d3f60a00000701bbc43388b8bdb1cc8dae05501800b4fd670000170303001d000000000000002fae60b374c56166c3ac7fe7318b950867d987d2886c }
{ source_ip: 10.0.0.7, dest_ip: 44.212.211.246, source_port: 50227, dest_port: 443, timestamp: 1686772881.287018, total_length: 92, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 00b8c2997d3b68545a8ecabf08004500004e6eb24000800600000a0000072cd4d3f6c43301bbcc8dae0588b8bdd3501802000b1200001703030021000000000000002f29c19ede2d8f7c3213841a07e576bd058df06e8ec783a85e9b }
{ source_ip: 44.212.211.246, dest_ip: 10.0.0.7, source_port: 443, dest_port: 50227, timestamp: 1686772881.489081, total_length: 56, cache_flag: 0, steps_flag: 0, type_flag: 0, status_code: Not a response, cache_control: 0, data: 68545a8ecabf00b8c2997d3b080045000028d2fd4000e406b9002cd4d3f60a00000701bbc43388b8bdd3cc8dae2b501000b41d1b00001703 }
